15.01.2017;2,026;1,916;2,033;1,847;6,52%
08.01.2017;1,902;1,950;1,950;1,848;-3,40%
01.01.2017;1,969;1,803;1,989;1,720;8,25%
25.12.2016;1,819;1,818;1,865;1,781;-0,44%
18.12.2016;1,827;1,855;1,891;1,801;-2,72%
11.12.2016;1,878;2,107;2,126;1,769;-8,17%
04.12.2016;2,045;2,016;2,063;1,885;7,24%
27.11.2016;1,907;2,100;2,112;1,893;-8,97%
20.11.2016;2,095;2,126;2,164;1,959;-0,10%
13.11.2016;2,097;2,076;2,228;1,937;3,45%
06.11.2016;2,027;1,750;2,061;1,684;15,83%
30.10.2016;1,750;1,659;1,768;1,651;5,61%
23.10.2016;1,657;1,411;1,710;1,406;14,75%
16.10.2016;1,444;1,403;1,477;1,305;4,56%
09.10.2016;1,381;1,385;1,427;1,365;-0,29%
02.10.2016;1,385;1,211;1,394;1,206;16,48%
25.09.2016;1,189;1,195;1,247;1,144;-2,06%
18.09.2016;1,214;1,333;1,338;1,173;-9,67%
11.09.2016;1,344;1,299;1,350;1,250;7,26%
04.09.2016;1,253;1,160;1,257;1,050;7,00%
28.08.2016;1,171;1,153;1,195;1,101;4,65%
21.08.2016;1,119;1,112;1,162;1,101;-1,50%
14.08.2016;1,136;1,055;1,141;1,054;8,60%
07.08.2016;1,046;1,149;1,160;1,045;-8,33%
31.07.2016;1,141;1,165;1,238;1,129;-2,31%
24.07.2016;1,168;1,233;1,268;1,164;-5,43%
17.07.2016;1,235;1,238;1,306;1,214;-1,83%
10.07.2016;1,258;1,200;1,271;1,186;5,98%
03.07.2016;1,187;1,248;1,286;1,187;-3,89%
26.06.2016;1,235;1,448;1,475;1,218;-17,06%
19.06.2016;1,489;1,399;1,585;1,304;2,83%
12.06.2016;1,448;1,325;1,512;1,325;10,37%
05.06.2016;1,312;1,356;1,415;1,278;-2,02%
29.05.2016;1,339;1,373;1,430;1,338;-2,05%
22.05.2016;1,367;1,467;1,500;1,339;-8,19%
15.05.2016;1,489;1,487;1,528;1,441;0,34%
08.05.2016;1,484;1,518;1,525;1,416;0,34%
01.05.2016;1,479;1,471;1,535;1,454;-1,66%
24.04.2016;1,504;1,485;1,566;1,456;2,04%
17.04.2016;1,474;1,376;1,484;1,328;9,67%
10.04.2016;1,344;1,320;1,384;1,295;1,90%
03.04.2016;1,319;1,226;1,424;1,218;8,47%
27.03.2016;1,216;1,254;1,257;1,208;-6,46%
20.03.2016;1,300;1,270;1,332;1,238;2,28%
13.03.2016;1,271;1,300;1,380;1,240;-4,08%
06.03.2016;1,325;1,437;1,458;1,241;-8,93%
28.02.2016;1,455;1,493;1,494;1,381;-2,87%
21.02.2016;1,498;1,544;1,563;1,473;-5,19%
14.02.2016;1,580;1,603;1,648;1,516;-4,42%
07.02.2016;1,653;1,543;1,774;1,535;6,03%
31.01.2016;1,559;1,399;1,560;1,392;8,72%
24.01.2016;1,434;1,561;1,597;1,419;-8,95%
17.01.2016;1,575;1,563;1,703;1,500;2,81%
10.01.2016;1,532;1,556;1,637;1,499;0,07%
03.01.2016;1,531;1,558;1,571;1,451;-4,37%
27.12.2015;1,601;1,635;1,649;1,599;-4,13%
20.12.2015;1,670;1,640;1,671;1,581;6,30%
13.12.2015;1,571;1,571;1,720;1,557;2,48%
06.12.2015;1,533;1,642;1,650;1,524;-7,76%
29.11.2015;1,662;1,395;1,695;1,364;19,40%
22.11.2015;1,392;1,499;1,545;1,383;-6,51%
15.11.2015;1,489;1,561;1,611;1,473;-5,82%
08.11.2015;1,581;1,806;1,829;1,561;-10,63%
01.11.2015;1,769;1,524;1,801;1,493;17,93%
25.10.2015;1,500;1,483;1,507;1,395;0,07%
18.10.2015;1,499;1,615;1,675;1,448;-6,60%
11.10.2015;1,605;1,702;1,714;1,594;-5,03%
04.10.2015;1,690;1,626;1,719;1,618;3,30%
27.09.2015;1,636;1,773;1,779;1,608;-8,40%
20.09.2015;1,786;1,771;1,807;1,704;0,62%
13.09.2015;1,775;1,851;1,944;1,754;-3,27%
06.09.2015;1,835;1,856;1,903;1,816;-2,55%
30.08.2015;1,883;1,927;2,009;1,874;-1,31%
23.08.2015;1,908;1,911;1,998;1,865;2,25%
16.08.2015;1,866;1,783;1,885;1,741;3,32%
09.08.2015;1,806;1,840;1,852;1,730;-1,58%
02.08.2015;1,835;1,790;1,907;1,734;2,92%
26.07.2015;1,783;1,887;1,935;1,783;-4,86%
19.07.2015;1,874;1,921;2,005;1,853;-3,65%
